,directors_movieCount,directors_ratingSum,directors_normalizedMovieRank,directors_googleHits,directors_normalizedGoogleRank,directors_normalizedRating
0,6.6552059052059045,322.2766122766123,2.909255838523841,257732.2999222999,2.902939516301292,3.2353892118410257
1,4.0,90.0,1.1776299476623535,29400.0,1.2098100185394287,1.2133100032806399
2,6.6552059052059045,322.2766122766123,2.909255838523841,257732.2999222999,2.902939516301292,3.2353892118410257
3,3.0,140.0,2.894740104675293,1480.0,1.0019400119781494,2.84984993934631
4,5.0,300.0,3.84210991859436,790000.0,6.872879981994629,4.92204999923706
5,16.0,640.0,2.4210500717163086,356000.0,3.6415200233459473,2.90282011032104
6,5.0,430.0,5.689469814300537,1050000.0,8.808719635009766,7.10459995269775
7,6.6552059052059045,322.2766122766123,2.909255838523841,257732.2999222999,2.902939516301292,3.2353892118410257
8,6.6552059052059045,322.2766122766123,2.909255838523841,257732.2999222999,2.902939516301292,3.2353892118410257
9,10.0,580.0,3.7000000476837163,4295.0,1.0228950381278992,3.640475034713745
10,6.6552059052059045,322.2766122766123,2.909255838523841,257732.2999222999,2.902939516301292,3.2353892118410257
11,6.6552059052059045,322.2766122766123,2.909255838523841,257732.2999222999,2.902939516301292,3.2353892118410257
12,10.0,490.0,3.060529947280884,185000.0,2.368340015411377,3.27870988845825
13,3.0,80.0,1.4736800193786619,9400.0,1.0608999729156494,1.4733799695968601
14,4.0,80.0,1.0,1060000.0,8.883170127868652,2.53876996040344
15,5.0,240.0,2.9894700050354004,75400.0,1.5523099899291992,3.04990005493164
16,6.0,170.0,1.59211003780365,28300.0,1.2016199827194214,1.61653995513916
17,5.0,310.0,3.9842100143432617,112000.0,1.824820041656494,4.074729919433589
18,7.0,420.0,3.84210991859436,239000.0,2.770400047302246,4.12063980102539
19,6.6552059052059045,322.2766122766123,2.909255838523841,257732.2999222999,2.902939516301292,3.2353892118410257
20,6.6552059052059045,322.2766122766123,2.909255838523841,257732.2999222999,2.902939516301292,3.2353892118410257
21,3.0,140.0,2.894740104675293,1480.0,1.0019400119781494,2.84984993934631
22,7.0,370.0,3.334589958190918,227000.0,2.681050062179565,3.6074800491332994
23,10.0,580.0,3.7000000476837163,4295.0,1.0228950381278992,3.640475034713745
24,11.0,670.0,3.9066998958587646,622000.0,5.622029781341553,4.740789890289309
25,6.6552059052059045,322.2766122766123,2.909255838523841,257732.2999222999,2.902939516301292,3.2353892118410257
26,9.0,380.0,2.5789499282836914,97300.0,1.7153700590133667,2.6807799339294403
27,6.6552059052059045,322.2766122766123,2.909255838523841,257732.2999222999,2.902939516301292,3.2353892118410257
28,6.0,150.0,1.3552600145339966,35100.0,1.2522499561309814,1.39509999752045
29,6.6552059052059045,322.2766122766123,2.909255838523841,257732.2999222999,2.902939516301292,3.2353892118410257
30,4.0,280.0,4.5526299476623535,29900.0,1.2135399580001829,4.5105099678039595
31,4.0,290.0,4.730259895324707,742000.0,6.5154900550842285,5.71972990036011
32,3.0,130.0,2.65789008140564,14700.0,1.1003700494766235,2.63774991035461
33,7.0,310.0,2.725559949874878,42300.0,1.3058600425720217,2.7439899444580096
34,5.0,180.0,2.1368401050567627,937000.0,7.96737003326416,3.4702699184417702
35,6.6552059052059045,322.2766122766123,2.909255838523841,257732.2999222999,2.902939516301292,3.2353892118410257
36,17.0,680.0,2.4210500717163086,934000.0,7.945040225982666,3.74349999427795
37,6.6552059052059045,322.2766122766123,2.909255838523841,257732.2999222999,2.902939516301292,3.2353892118410257
38,6.6552059052059045,322.2766122766123,2.909255838523841,257732.2999222999,2.902939516301292,3.2353892118410257
39,19.0,1050.0,3.505539894104004,277000.0,3.053329944610596,3.84717988967896
40,3.0,60.0,1.0,64400.0,1.4704099893569946,1.09071004390717
41,6.6552059052059045,322.2766122766123,2.909255838523841,257732.2999222999,2.902939516301292,3.2353892118410257
42,6.0,130.0,1.1184200048446655,4020.0,1.0208499431610107,1.1185599565506001
43,9.0,230.0,1.3947399854660034,57600.0,1.4197800159454346,1.46638000011444
44,6.6552059052059045,322.2766122766123,2.909255838523841,257732.2999222999,2.902939516301292,3.2353892118410257
45,9.0,230.0,1.3947399854660034,57600.0,1.4197800159454346,1.46638000011444
46,5.0,260.0,3.2736799716949463,7700.0,1.0482499599456787,3.2290298938751203
47,6.6552059052059045,322.2766122766123,2.909255838523841,257732.2999222999,2.902939516301292,3.2353892118410257
48,3.0,120.0,2.4210500717163086,1010000.0,8.510899543762207,3.8540399074554403
49,6.6552059052059045,322.2766122766123,2.909255838523841,257732.2999222999,2.902939516301292,3.2353892118410257
50,6.6552059052059045,322.2766122766123,2.909255838523841,257732.2999222999,2.902939516301292,3.2353892118410257
51,6.6552059052059045,322.2766122766123,2.909255838523841,257732.2999222999,2.902939516301292,3.2353892118410257
52,3.0,90.0,1.7105300426483154,23200.0,1.1636500358581543,1.72478997707367
53,6.6552059052059045,322.2766122766123,2.909255838523841,257732.2999222999,2.902939516301292,3.2353892118410257
54,4.0,90.0,1.1776299476623535,29400.0,1.2098100185394287,1.2133100032806399
55,6.6552059052059045,322.2766122766123,2.909255838523841,257732.2999222999,2.902939516301292,3.2353892118410257
56,6.6552059052059045,322.2766122766123,2.909255838523841,257732.2999222999,2.902939516301292,3.2353892118410257
57,3.0,60.0,1.0,52400.0,1.381060004234314,1.0732599496841402
58,6.6552059052059045,322.2766122766123,2.909255838523841,257732.2999222999,2.902939516301292,3.2353892118410257
59,5.0,140.0,1.5684200525283811,542000.0,5.026390075683594,2.34055995941162
