,imdbId,title,releaseYear,releaseDate,genre_x,writers,actors,directors,sequel,hitFlop,movie_name,release_date,runtime,genre_y,hitfactor,screens,footfall,budget,first_day,first_weekend,first_week,worldwide_first_weekend,worldwide_first_week,india_gross,worldwide_gross,actors_movieCount,actors_ratingSum,actors_normalizedMovieRank,actors_googleHits,actors_normalizedGoogleRank,actors_normalizedRating,directors_movieCount,directors_ratingSum,directors_normalizedMovieRank,directors_googleHits,directors_normalizedGoogleRank,directors_normalizedRating
780,tt2220828,Identity Card,2014,29 Aug 2014,Comedy | Drama | Sci-Fi,Sanjay Amar,Tia Bajpai | Brijendra Kala | Prashaant Kumar | Vipin Sharma,Rahat Kazmi,0.0,1,Identity Card, 29 Aug 2014 , 88 min  ,Drama,Disaster,50,"4,375","1,50,00,000",None,None,None,None,"8,28,000","8,25,000","8,25,000",15.0,820.0,4.3913002014160165,129000.0,1.329360008239746,3.6904399394989,3.0,60.0,1.0,14800.0,1.1011099815368652,1.01856994628906
781,tt2224254,3 Bachelors,2012,29 Jun 2012,Comedy | Romance,Raghuvir Shekhawat | Ajai Sinha,Sharman Joshi | Negar Khan | Nigaar Khan | Manish Nagpal,Ajai Sinha,0.0,1,3 Bachelors, 6 Jul 2012 , 108 min  ,Comedy,Disaster,70,"35,600","4,00,00,000","3,25,000","10,25,000","14,00,000","14,35,000","19,60,000","21,00,000","21,00,000",7.0,140.0,1.0,94000.0,1.2390700578689575,1.70617997646332,6.6552059052059045,322.2766122766123,2.9092558385238414,257732.2999222999,2.9029395163012923,3.2353892118410257
782,tt2224313,Listen... Amaya,2013,01 Feb 2013,Drama,Vikas Chandra (additional dialogue) | Avinash Kumar Singh (dialogue) | Avinash Kumar Singh | Geeta Singh (dialogue) | Geeta Singh (story),Farooq Shaikh | Deepti Naval | Swara Bhaskar | Amala Akkineni,Avinash Kumar Singh,0.0,1,Listen... Amaya, 1 Feb 2013 , 109 min  ,Drama,Disaster,35,"12,800","1,50,00,000","2,00,000","6,75,000","9,35,000","8,84,250","12,24,850","15,50,000","15,50,000",6.5,540.0,6.9307050704956055,1040000.0,3.6795400381088257,6.477159976959231,6.6552059052059045,322.2766122766123,2.9092558385238414,257732.2999222999,2.9029395163012923,3.2353892118410257
783,tt2224317,Lootera,2013,05 Jul 2013,Drama | Romance,Bhavani Iyer (screenplay) | Anurag Kashyap (dialogue) | Vikramaditya Motwane (screenplay),Ranveer Singh | Sonakshi Sinha | Adil Hussain | Vikrant Massey,Vikramaditya Motwane,0.0,2,Lootera, 5 Jul 2013 , 143 min  ,Love Story,Flop,1050,"30,78,000","32,00,00,000","4,14,00,000","15,89,00,000","23,30,00,000","26,33,17,500","38,56,45,000","37,61,00,000","46,40,65,000",16.41485507246378,715.5120137299773,2.9788738278193287,649043.6336765825,3.0152027458629536,3.5439428890778935,6.6552059052059045,322.2766122766123,2.9092558385238414,257732.2999222999,2.9029395163012923,3.2353892118410257
784,tt2224541,Tutiya Dil,2012,13 Jan 2012,Romance,Amit Khanna,Sidhant Kapur | Iris Maity | Suzanna Mukherjee | Nikhil Sabharwal,Amit Khanna,0.0,1,Tutiya Dil, 13 Jan 2012 , 120 min  ,Love Story,Disaster,20,"4,975","1,50,00,000","75,000","2,50,000","3,00,000","3,50,000","4,20,000","5,25,000","5,25,000",9.0,430.0,3.4456499814987183,169500.0,1.8711099624633791,2.92705011367798,3.0,120.0,2.4210500717163086,487000.0,4.616889953613281,3.09335994720459
785,tt2226666,Jism 2,2012,03 Aug 2012,Drama | Romance | Thriller,Mahesh Bhatt (screenplay) | Mahesh Bhatt | Shagufta Rafique (dialogue),Randeep Hooda | Sunny Leone | Arunoday Singh | Junayeed Bin Fakhrul,Pooja Bhatt,1.0,5,Jism 2, 2 Aug 2012 , 133 min  ,Thriller,Semi Hit,1700,"51,75,000","13,00,00,000","7,46,00,000","20,45,00,000","28,84,00,000","28,64,45,000","40,38,79,000","47,87,00,000","49,25,75,000",17.0,890.0,3.2173900604248047,88000.0,1.4506100416183472,2.67713004350662,4.0,120.0,1.7105300426483154,11400.0,1.0757999420166016,1.7076200246810902
786,tt2229842,Table No. 21,2013,04 Jan 2013,Adventure | Thriller,Sheershak Anand (story) | Shantanu Ray Chhibber (story) | T. Rafael Cimino (novel) | Abhijeet Deshpande,Paresh Rawal | Rajeev Khandelwal | Tina Desai | Dhruv Ganesh,Aditya Datt,0.0,3,Table No. 21, 4 Jan 2013 , 109 min  ,Thriller,Below Average,850,"14,34,000","8,50,00,000","1,52,00,000","5,76,00,000","9,36,00,000","8,71,62,000","13,97,82,000","16,42,00,000","17,79,50,000",18.0,607.5,1.9612500071525572,223500.0,1.7653466860453289,2.3024324774742126,6.6552059052059045,322.2766122766123,2.9092558385238414,257732.2999222999,2.9029395163012923,3.2353892118410257
787,tt2232524,Mere Dost Picture Abhi Baaki Hai,2012,20 Jul 2012,Comedy,Rajnish Thakur,Sunil Shetty | Udita Goswami | Rajpal Yadav | Mukesh Ahuja,Rajnish Thakur,0.0,1,Mere Dost Picture Abhi Baaki Hai, 20 Jul 2012 , 100 min  ,Comedy,Disaster,50,"38,500","5,25,00,000","4,00,000","13,00,000","17,00,000","18,07,000","23,63,000","25,00,000","25,00,000",9.666666666666666,333.3333333333333,2.3336133559544883,71600.0,1.2736349701881409,2.24398672580719,6.6552059052059045,322.2766122766123,2.9092558385238414,257732.2999222999,2.9029395163012923,3.2353892118410257
788,tt2241224,Cheenti Cheenti Bang Bang,2008,01 Oct 2008,Animation | Family,Kharaj Mukhherjee,Asrani | Mahesh Manjrekar | Anjan Srivastav | Ashish Vidyarthi,R.D. Mallik,0.0,1,Cheenti Cheenti Bang Bang, 17 Oct 2008 , 83 min  ,Animation,Disaster,70,"15,700","3,75,00,000","2,25,000","7,75,000","10,25,000","10,85,000","14,35,000","15,00,000","15,00,000",4.0,160.0,2.9565200805664062,0.0,3.0152027458629536,2.11508011817932,6.6552059052059045,322.2766122766123,2.9092558385238414,257732.2999222999,2.9029395163012923,3.2353892118410257
789,tt2243336,Aalaap,2012,27 Jul 2012,Sci-Fi,Dilip Shukla,Omkar Das Manikpuri | Ashish Patil | Pitobash | Amit Purohit,Manish Manikpuri,0.0,1,Aalaap, 27 Jul 2012 , 119 min  ,Drama,Disaster,65,"15,700","2,50,00,000","2,50,000","8,00,000","11,50,000","11,12,000","15,98,500","17,00,000","17,00,000",7.0,370.0,4.322009921073914,42550.0,1.2161099910736084,3.2398600578308097,6.6552059052059045,322.2766122766123,2.9092558385238414,257732.2999222999,2.9029395163012923,3.2353892118410257
790,tt2246595,Blood Money,2012,30 Mar 2012,Action | Drama | Thriller,Vishal Mahadkar (story) | Sanjay Masoom (additional dialogue) | Upendra Sidhaye,Manish Chaudhary | Kunal Khemu | Amrita Puri | Teeshay Shah,Vishal Mahadkar,0.0,2,Blood Money, 30 Mar 2012 , 113 min  ,Thriller,Flop,1150,"10,05,000","9,00,00,000","1,71,00,000","5,21,00,000","8,03,00,000","7,13,77,000","11,00,11,000","11,68,00,000","11,68,00,000",17.333333333333332,923.3333333333335,3.9949833552042637,739633.3333333335,2.904660105705261,4.36237668991089,3.0,140.0,2.894740104675293,1210000.0,10.0,4.60759019851685
