,actors_movieCount,actors_ratingSum,actors_normalizedMovieRank,actors_googleHits,actors_normalizedGoogleRank,actors_normalizedRating
411,26.0,1400.0,4.311039924621582,861000.0,3.2177600860595703,4.72095012664795
412,19.0,700.0,2.9012049436569214,165500.0,1.4235199689865112,2.89486002922058
413,16.5,730.0,3.2922425866127014,311500.0,1.8001675307750702,3.332385003566743
414,17.666666666666668,640.0,2.306160012880961,238266.66666666666,1.9185799360275269,2.4733900229136134
415,17.25,1067.5,4.899750053882599,813975.0,3.0964425206184387,4.987332463264464
416,29.75,1565.0,4.497747540473938,2197500.0,6.66563493013382,6.79240745306015
417,18.25,747.5,2.9536324441432953,747750.0,2.9255999922752376,3.7808149456977826
418,27.0,1170.0,3.066325008869171,906250.0,3.334492474794388,4.078082382678986
419,23.666666666666668,1050.0,3.8075067599614463,1586000.0,5.088099956512451,5.49993666013082
420,25.0,740.0,1.9765149950981142,168000.0,1.4299750328063965,2.371524930000305
421,16.41485507246378,715.5120137299773,2.978873827819329,649043.6336765825,3.0152027458629536,3.543942889077894
422,19.0,967.5,3.177519977092743,1178075.0,5.048799912134807,4.399124830961227
423,9.0,390.0,3.2826099395751958,204000.0,1.5228400230407717,3.16883993148804
424,20.0,1055.0,4.361574888229371,665200.0,2.7126399278640747,4.461865067481995
425,7.0,225.0,2.711954951286316,26700.0,1.1343300342559814,2.29894000291824
426,8.0,303.3333333333333,2.7527167002360025,301333.3333333333,1.7739400068918865,3.0099466641743997
427,4.0,90.0,1.244570016860962,0.0,3.0152027458629536,1.13937997817993
428,18.25,960.0,3.7989125847816467,1090200.0,3.8090450167655945,4.766064941883087
429,11.5,732.5,4.329442501068115,621750.0,3.1352067391077676,4.237677425146102
430,5.0,170.0,2.369570016860962,0.0,3.0152027458629536,1.7805500030517598
431,29.5,1335.0,3.071315050125122,1404000.0,4.618579924106598,4.812764883041385
432,30.0,1650.0,4.2911399602890015,2370000.0,7.110644817352296,6.928279876708986
433,12.0,480.0,2.9565200805664062,84800.0,1.2153300046920776,2.80772995948792
434,20.0,955.0,3.0208324790000916,632500.0,4.259989976882935,3.3656773865222926
435,23.666666666666668,1080.0,3.8435134092966714,1456666.6666666667,4.754446824391683,5.330296675364177
436,23.0,1075.0,3.2017250657081604,1510500.0,4.893325060606003,5.0436749458313
437,8.25,260.0,2.070442497730255,250500.0,2.2890400290489197,2.262369960546495
438,25.5,1230.0,3.7692849040031433,1073250.0,3.7653175592422485,4.724257469177248
439,17.666666666666668,813.3333333333334,3.63153338432312,369266.6666666667,2.4255099296569824,3.42136327425639
440,19.666666666666668,683.3333333333334,2.4584966897964478,567000.0,2.4592999617258706,3.2328700224558538
441,8.0,310.0,2.834239959716797,2270000.0,6.852670192718506,5.95092010498047
442,9.0,350.0,2.847830057144165,149000.0,1.3809599876403809,2.8401799201965297
443,18.25,802.5,3.0171700417995453,333000.0,1.855635017156601,3.2072249650955174
444,10.0,440.0,3.03804341952006,245933.33333333334,1.9482499957084656,2.90178326765696
445,16.41485507246378,715.5120137299773,2.978873827819329,649043.6336765825,3.0152027458629536,3.543942889077894
446,16.41485507246378,715.5120137299773,2.978873827819329,649043.6336765825,3.0152027458629536,3.543942889077894
447,28.25,1585.0,5.169229984283447,1333775.0,4.437415033578873,5.905172348022458
448,9.333333333333334,263.3333333333333,1.9006199836730957,153333.33333333334,1.5899199843406677,2.1173866987228367
449,9.0,703.3333333333334,7.290513277053833,836800.0,3.1553300619125366,6.38346004486084
450,19.5,760.0,2.5766974687576294,312000.0,1.8014599680900574,2.925310015678405
451,20.5,947.5,3.828659951686859,379000.0,2.3002167145411176,3.5953549742698647
452,4.0,80.0,1.0,0.0,3.0152027458629536,1.0
453,16.41485507246378,715.5120137299773,2.978873827819329,649043.6336765825,3.0152027458629536,3.543942889077894
454,18.25,532.5,1.7171375155448914,104500.0,1.3560166756312053,1.98834252357483
455,11.5,507.5,3.022052526473999,220325.0,1.5649574995040894,3.0443424582481398
456,7.75,252.5,1.9836925268173218,28425.0,1.1432250142097473,1.8864174485206622
457,6.5,270.0,2.96875,42550.0,1.2161099910736084,2.468595027923585
458,15.0,652.5,3.2624925374984746,215700.0,1.553030014038086,3.1745774745941153
459,18.333333333333332,1060.0,4.2754332224528,1128000.0,3.9065600633621216,5.093226671218873
460,18.25,720.0,2.8169299364089966,268750.0,1.6898850202560425,2.9986324310302725
461,14.333333333333334,1030.0,5.688143332799275,1362066.6666666667,4.51039997736613,6.242516676584876
462,17.75,970.0,4.633887469768524,1555000.0,5.008127599954605,5.925334990024566
463,21.333333333333332,1006.6666666666666,4.247283299763997,1303333.3333333333,6.0400400161743155,5.1456499894460075
464,19.5,640.0,2.2359049320220947,210000.0,1.538325011730194,2.58111000061035
465,24.25,1050.0,2.8751675188541412,1190750.0,4.068439990282059,4.38743245601654
466,24.25,1050.0,2.8751675188541412,1190750.0,4.068439990282059,4.38743245601654
467,26.75,1445.0,4.499174952507019,1756275.0,5.527369886636734,6.144487500190735
468,28.25,1322.5,3.5195724964141846,1608500.0,5.14614498615265,5.368912339210508
469,18.75,1205.0,5.719857454299927,1667250.0,5.297707438468934,6.709299862384796
470,25.0,1227.5,3.9799100160598755,1382500.0,5.751963376998901,5.156992554664612
471,14.5,1225.0,6.965260028839111,2225000.0,6.73658013343811,8.239150047302244
472,46.0,2030.0,3.338629961013794,2065000.0,6.323814868927002,5.9369797706604
473,7.75,222.5,1.7214650213718414,149350.0,1.510289986928304,2.0567525029182425
474,24.0,1180.0,3.824400027592977,1026666.6666666666,3.645140051841736,4.687176624933877
475,31.333333333333332,1780.0,5.888286590576172,1696666.6666666667,7.562109708786011,6.6592165629069
476,8.0,330.0,3.119565010070801,529000.0,2.3612749576568604,3.5537600517272954
477,17.0,985.0,4.7771700620651245,1758500.0,5.533110022544861,6.30619978904724
478,8.333333333333334,180.0,1.1594200134277344,125566.66666666667,1.3205033540725708,1.8434499502181965
479,18.5,607.5,2.2281424701213837,522750.0,2.3451474606990814,3.036522567272188
480,7.0,170.0,1.3668500185012817,26700.0,1.1343300342559814,1.53231996297836
481,15.0,625.0,2.710790038108826,155500.0,1.3977250456809998,2.77163004875183
482,26.0,1110.0,2.2024450302124023,1385000.0,8.142560005187987,4.005650043487551
483,14.0,570.0,3.026400089263916,148000.0,1.3783799409866333,2.94047999382019
