movie_name,release_date,runtime,genre,hitfactor,screens,footfall,budget,first_day,first_weekend,first_week,worldwide_first_weekend,worldwide_first_week,india_gross,worldwide_gross
Wajah Tum Ho, 16 Dec 2016 , 136 min  ,Thriller,Flop,2000,"12,36,000","14,00,00,000","2,16,00,000","6,08,00,000","9,09,00,000","8,51,20,000","12,72,60,000","13,57,00,000","13,57,00,000"
Barwali, 3 Jul 2009 , 85 min  ,Adult,Disaster,1,"56,600","10,00,000",None,None,None,None,"17,28,000","17,25,000","17,25,000"
Grow Up, 9 Oct 2015 , 0 min  ,Drama,Disaster,10,"6,325",None,None,None,None,None,"3,50,000","3,50,000","3,50,000"
Chutki Bajaa Ke, 25 May 2012 , 105 min  ,Drama,Disaster,20,"4,400","1,25,00,000","75,000","2,25,000","3,00,000","2,94,750","3,93,000","4,25,000","4,25,000"
Poster Boys, 8 Sep 2017 , 131 min  ,Comedy,Flop,1300,"11,75,000","27,00,00,000","1,70,00,000","6,97,00,000","10,61,00,000","10,27,63,000","15,42,16,500","15,00,00,000","17,08,81,250"
Om Shanti Om, 9 Nov 2007 , 162 min  ,Masala,Blockbuster,1200,"1,79,74,000","40,00,00,000","5,53,00,000","21,47,00,000","36,38,00,000","46,84,55,000","74,63,20,000","1,09,78,00,000","1,49,87,25,000"
2 States, 18 Apr 2014 , 149 min  ,Love Story,Super Hit,1900,"1,02,64,000","45,00,00,000","12,11,00,000","37,17,00,000","58,45,00,000","66,91,95,000","1,02,36,75,000","1,37,71,00,000","1,72,99,00,000"
Border, 13 Jun 1997 , 176 min  ,Action,All Time Blockbuster,290,"3,70,83,000","10,00,00,000","1,12,00,000","3,23,00,000","6,19,00,000","5,51,68,000","10,57,00,000","63,68,00,000","65,57,00,000"
Encounter - The Killing, 9 Aug 2002 , 144 min  ,Drama,Disaster,6,"1,65,500","80,00,000","1,50,000","5,00,000","9,00,000","8,10,000","14,58,000","64,00,000","64,00,000"
Gangobai, 16 Aug 2002 , 122 min  ,Action,Disaster,5,"1,37,500","25,00,000",None,None,None,None,"27,55,500","27,50,000","27,50,000"
Prem Shastra, 27 Aug 1999 , 112 min  ,Drama,Flop,15,"3,10,000","30,00,000",None,None,None,None,"51,15,000","51,00,000","51,00,000"
Gali Gali Chor Hai, 3 Feb 2012 , 103 min  ,Drama,Disaster,750,"5,46,000","13,00,00,000","79,00,000","2,47,00,000","3,56,00,000","3,35,92,000","4,84,16,000","5,07,00,000","5,07,00,000"
Kaalia, 28 Mar 1997 , 141 min  ,Action,Flop,140,"31,23,000","2,25,00,000","34,00,000","91,00,000","1,50,00,000","1,59,25,000","2,62,50,000","4,78,00,000","4,83,40,000"
Bachna Ae Haseeno, 15 Aug 2008 , 152 min  ,Rom - Com,Semi Hit,800,"66,24,000","23,00,00,000","4,87,00,000","13,15,00,000","20,07,00,000","22,56,55,000","34,27,71,500","49,76,00,000","61,57,25,000"
Darwaza Bandh Rakho, 4 Aug 2006 , 110 min  ,Comedy,Disaster,175,"3,06,000","3,75,00,000","36,00,000","1,01,00,000","1,45,00,000","1,42,41,000","2,04,45,000","2,32,00,000","2,32,00,000"
Gori Tere Pyaar Mein, 22 Nov 2013 , 145 min  ,Rom - Com,Disaster,1400,"15,19,000","45,00,00,000","2,57,00,000","9,06,00,000","12,53,00,000","18,22,01,000","26,20,23,000","19,01,00,000","31,12,07,500"
Utt Pataang, 4 Feb 2011 , 120 min  ,Comedy,Disaster,225,"54,100","5,50,00,000","9,00,000","29,00,000","37,75,000","39,73,000","51,71,750","55,00,000","55,00,000"
Naaraaz, 19 Aug 1994 , 127 min  ,Action,Flop,125,"35,05,000","1,80,00,000","24,00,000","68,00,000","1,17,50,000","1,20,36,000","2,07,97,500","3,81,00,000","3,86,35,500"
Prague, 27 Sep 2013 , 109 min  ,Thriller,Disaster,85,"10,550","4,00,00,000","1,75,000","6,00,000","8,00,000","8,10,000","10,80,000","11,50,000","11,50,000"
Arjun: The Warrior Prince, 25 May 2012 , 107 min  ,Animation,Disaster,150,"2,20,000","7,50,00,000","34,00,000","57,00,000","1,56,00,000","78,09,000","2,13,72,000","2,44,00,000","2,44,00,000"
Zimbo, 11 Jun 1999 , 0 min  ,Action,Disaster,5,"81,800","20,00,000",None,None,None,None,"13,76,000","13,75,000","13,75,000"
Prem Ras, 17 Aug 2001 , 107 min  ,Drama,Disaster,3,"78,300","15,00,000",None,None,None,None,"14,28,000","14,25,000","14,25,000"
ABCD - Any Body Can Dance, 8 Feb 2013 , 143 min  ,Drama,Semi Hit,1000,"46,93,000","27,00,00,000","4,51,00,000","16,73,00,000","26,04,00,000","25,08,01,000","38,53,68,000","53,91,00,000","57,79,80,000"
Karamati Coat, 22 Jul 1994 , 87 min  ,Drama,Disaster,2,"2,000","1,00,000",None,None,None,None,"25,000","25,000","25,000"
Ek Aur Sahaadat, 20 May 2011 , 0 min  ,Drama,Disaster,1,"4,300","10,00,000",None,None,None,None,"1,40,000","1,40,000","1,40,000"
Brothers, 14 Aug 2015 , 158 min  ,Action,Flop,3400,"82,57,000","1,12,00,00,000","13,04,00,000","47,42,00,000","64,34,00,000","80,90,96,000","1,08,87,42,000","97,29,00,000","1,23,09,50,000"
Sauda - The Deal, 30 Sep 2005 , 142 min  ,Drama,Disaster,90,"4,32,000","2,50,00,000","16,00,000","45,00,000","67,00,000","65,25,000","97,15,000","1,60,00,000","1,61,10,000"
Panchlait, 17 Nov 2017 , 125 min  ,Drama,Disaster,75,"3,875",None,None,None,None,None,"5,27,000","5,25,000","5,25,000"
Lahore, 19 Mar 2010 , 144 min  ,Drama,Disaster,325,"1,38,500","9,50,00,000","14,00,000","54,00,000","76,00,000","74,52,000","1,04,88,000","1,21,00,000","1,21,00,000"
Jaanam, 26 Nov 1993 , 126 min  ,Love Story,Disaster,45,"8,18,000","50,00,000","4,00,000","16,75,000","29,00,000","31,32,250","54,23,000","79,00,000","79,31,500"
Sunsaan Mahal, 29 Jul 2005 , 120 min  ,Horror,Disaster,1,"52,200","15,00,000",None,None,None,None,"13,04,000","13,00,000","13,00,000"
Tu Chor Main Sipahi, 10 May 1996 , 155 min  ,Action,Below Average,190,"70,39,000","4,25,00,000","59,00,000","1,71,00,000","2,92,00,000","2,90,70,000","4,96,40,000","10,52,00,000","10,78,25,000"
Sanjana, 19 Jan 2018 , 116 min  ,Horror,,0,--,None,None,None,None,None,--,None,None
Do Numri, 17 Jul 1998 , 140 min  ,Action,Flop,100,"17,57,000","1,75,00,000","21,00,000","57,00,000","94,00,000","98,61,000","1,62,62,000","3,05,00,000","3,07,97,500"
Jai Ho, 24 Jan 2014 , 143 min  ,Action,Semi Hit,3700,"1,43,98,000","1,02,00,00,000","17,06,00,000","58,17,00,000","83,48,00,000","1,00,50,12,000","1,43,10,68,000","1,48,64,00,000","1,86,21,20,000"
Kahan Ho Tum!, 11 Jul 2003 , 147 min  ,Mystery,Disaster,10,"26,400","65,00,000","1,00,000","2,75,000","4,00,000","4,12,500","6,00,000","7,50,000","7,50,000"
Jodi No.1, 13 Apr 2001 , 154 min  ,Comedy,Hit,285,"1,21,22,000","11,00,00,000","1,15,00,000","3,41,00,000","6,57,00,000","6,61,70,500","12,27,64,750","31,75,00,000","34,13,42,500"
Hunterrr, 20 Mar 2015 , 141 min  ,Comedy,Below Average,725,"12,09,000","9,00,00,000",None,None,"9,23,00,000",None,"12,55,28,000","17,46,00,000","17,46,00,000"
Aaja Nachle, 30 Nov 2007 , 147 min  ,Drama,Flop,600,"28,70,000","20,00,00,000","1,85,00,000","6,16,00,000","9,03,00,000","12,49,50,000","18,01,40,000","19,75,00,000","28,44,00,000"
Chhutanki, 5 Aug 2011 , 90 min  ,Sci Fi / Fantasy,Disaster,10,"1,375","1,75,00,000","20,000","75,000","1,00,000","1,02,000","1,36,000","1,50,000","1,50,000"
Dilwale, 18 Dec 2015 , 155 min  ,Masala,Semi Hit,3150,"1,53,78,000","1,65,00,00,000","20,37,00,000","63,28,00,000","95,37,00,000","1,44,83,02,000","2,18,93,88,000","1,94,81,00,000","3,72,23,15,000"
Eik Dasttak, 16 Mar 2007 , 146 min  ,Drama,Disaster,20,"4,950","1,75,00,000","55,000","1,75,000","2,50,000","2,43,250","3,47,500","3,75,000","3,75,000"
Mere Dost Picture Abhi Baaki Hai, 20 Jul 2012 , 100 min  ,Comedy,Disaster,50,"38,500","5,25,00,000","4,00,000","13,00,000","17,00,000","18,07,000","23,63,000","25,00,000","25,00,000"
Purab Ki Awaz, 10 Mar 2017 , 148 min  ,Drama,Disaster,6,"2,275",None,None,None,None,None,"1,80,000","1,80,000","1,80,000"
The Lunchbox, 20 Sep 2013 , 109 min  ,Drama,Average,400,"20,14,000","22,00,00,000","1,21,00,000","7,03,00,000","11,66,00,000","9,49,05,000","15,74,10,000","28,25,00,000","1,00,85,20,000"
Mela, 7 Jan 2000 , 172 min  ,Action,Flop,320,"1,12,06,000","18,00,00,000","1,27,00,000","3,62,00,000","6,82,00,000","7,41,55,000","13,33,40,000","25,85,00,000","29,11,25,000"
Bazaar - The Market Of Love Lust And Desire, 9 Apr 2004 , 146 min  ,Drama,Disaster,45,"3,50,000","85,00,000","7,75,000","22,00,000","34,00,000","32,56,000","50,32,000","93,00,000","93,43,750"
Dirty Marriage, 25 Jul 2014 , 116 min  ,Adult,Disaster,2,950,"15,00,000",None,None,None,None,"35,000","35,000","35,000"
Taxi Number 9 2 11, 24 Feb 2006 , 116 min  ,Drama,Semi Hit,400,"47,17,000","10,00,00,000","1,61,00,000","5,17,00,000","8,62,00,000","8,89,89,000","14,37,64,000","27,72,00,000","32,17,00,000"
Dangerous Ishhq, 11 May 2012 , 129 min  ,Thriller,Flop,1050,"7,98,000","26,00,00,000","1,12,00,000","3,81,00,000","5,50,00,000","5,68,35,000","8,15,40,000","7,77,00,000","8,68,80,000"
Fauji, 24 Nov 1995 , 125 min  ,Action,Disaster,60,"9,86,000","1,25,00,000","8,50,000","21,00,000","34,50,000","36,12,000","59,34,000","1,15,00,000","1,16,39,000"
B.A. Pass 2, 15 Sep 2017 , 135 min  ,Drama,Disaster,100,"91,700",None,None,None,None,None,"99,20,000","99,00,000","99,00,000"
Kya Farak Padta Hai, 11 Mar 2016 , 129 min  ,Drama,Disaster,2,"2,150",None,None,None,None,None,"1,65,000","1,65,000","1,65,000"
A Story Of Call Girl, 22 Oct 2004 , 119 min  ,Adult,Disaster,1,"31,900","20,00,000",None,None,None,None,"7,50,000","7,50,000","7,50,000"
Kahaani Saali Jeeja Ki, 16 Nov 2001 , 0 min  ,Comedy,Disaster,1,"26,000","10,00,000",None,None,None,None,"4,75,750","4,75,000","4,75,000"
Kahani Kismet Ki, 26 Mar 1999 , 129 min  ,Drama,Disaster,50,"4,21,000","2,00,00,000","6,25,000","16,00,000","25,50,000","27,52,000","43,86,000","74,00,000","74,00,000"
Hum Tum Aur Ghost, 26 Mar 2010 , 136 min  ,Sci Fi / Fantasy,Disaster,450,"7,83,000","21,00,00,000","82,00,000","2,65,00,000","4,07,00,000","4,41,40,000","6,66,02,000","6,66,00,000","8,01,00,000"
Haseeno Ka Mela, 7 Jul 2000 , 104 min  ,Drama,Disaster,6,"1,09,500","20,00,000",None,None,None,None,"19,03,000","19,00,000","19,00,000"
Dhoondh - The Mysterious Search, 2 Jan 2015 , 140 min  ,Mystery,Disaster,5,"6,500",None,None,None,None,None,"2,76,000","2,75,000","2,75,000"
Yeh Dil, 4 Apr 2003 , 139 min  ,Love Story,Disaster,150,"10,57,000","4,50,00,000","22,00,000","67,00,000","1,08,00,000","1,09,94,000","1,76,68,500","3,30,00,000","3,42,82,500"
Yeh Jawaani Hai Deewani, 31 May 2013 , 159 min  ,Love Story,Blockbuster,2900,"2,02,64,000","75,00,00,000","19,42,00,000","61,87,00,000","1,05,35,00,000","1,04,54,81,000","1,71,64,25,000","2,36,74,00,000","2,95,61,30,000"
Rang-E-Ishq, 24 Apr 2015 , 115 min  ,Love Story,Disaster,50,"17,300","2,00,00,000",None,None,None,None,"12,96,000","13,00,000","13,00,000"
Sultan, 6 Jul 2016 , 170 min  ,Masala,Blockbuster,4350,"3,20,85,000","1,45,00,00,000","36,59,00,000","1,05,55,00,000","2,08,99,00,000","2,09,44,65,000","3,94,51,62,000","4,14,14,00,000","5,77,28,75,000"
Mastaani Girls, 2 Mar 2007 , 0 min  ,Adult,Disaster,2,"26,200","20,00,000",None,None,None,None,"7,25,000","7,25,000","7,25,000"
Jeena Isi Ka Naam Hai, 3 Mar 2017 , 170 min  ,Drama,Disaster,400,"3,05,000",None,"4,00,000","15,00,000","21,75,000","20,70,000","30,01,500","31,50,000","31,50,000"
Housefull 2, 6 Apr 2012 , 156 min  ,Comedy,Super Hit,2650,"1,57,62,000","72,00,00,000","12,19,00,000","40,24,00,000","61,75,00,000","70,13,74,500","1,06,12,50,000","1,53,76,00,000","1,88,40,50,000"
Elaan, 21 Jan 1994 , 140 min  ,Action,Hit,140,"91,27,000","1,85,00,000","31,00,000","89,00,000","1,58,75,000","1,65,54,000","2,95,27,500","8,57,00,000","8,66,37,500"
Tutiya Dil, 13 Jan 2012 , 120 min  ,Love Story,Disaster,20,"4,975","1,50,00,000","75,000","2,50,000","3,00,000","3,50,000","4,20,000","5,25,000","5,25,000"
MSG 2 - The Messenger, 18 Sep 2015 , 133 min  ,Drama,Disaster,500,"11,76,000","23,00,00,000","85,00,000","2,67,00,000","4,02,25,000","3,72,90,250","5,39,01,500","16,98,00,000","17,17,72,500"
Humshakals, 20 Jun 2014 , 154 min  ,Comedy,Flop,2800,"59,93,000","64,00,00,000","10,74,00,000","34,53,00,000","48,63,00,000","58,31,55,000","80,35,05,000","71,00,00,000","87,02,00,000"
Apne, 29 Jun 2007 , 180 min  ,Drama,Average,625,"60,52,000","20,00,00,000","1,89,00,000","6,22,00,000","10,34,00,000","12,15,05,000","19,37,65,000","30,98,00,000","39,28,25,000"
Khiladiyon Ka Khiladi, 14 Jun 1996 , 160 min  ,Action,Super Hit,230,"1,60,42,000","6,75,00,000","90,00,000","2,48,00,000","4,51,50,000","4,21,60,000","7,67,55,000","24,42,00,000","25,15,50,000"
Rajkumari, 17 Jan 2003 , 0 min  ,Drama,Disaster,5,"74,400","20,00,000",None,None,None,None,"15,21,000","15,25,000","15,25,000"
Aamdani Atthani Kharcha Rupaiyaa, 21 Dec 2001 , 160 min  ,Comedy,Below Average,175,"37,95,000","5,00,00,000","46,00,000","1,41,00,000","2,60,00,000","2,48,46,000","4,55,60,000","10,16,00,000","10,54,40,000"
MSG - The Messenger Of God, 13 Feb 2015 , 197 min  ,Drama,Disaster,650,"11,53,000","30,00,00,000","2,28,00,000","6,49,00,000","10,20,00,000","8,43,43,500","13,23,89,250","16,65,00,000","16,89,90,000"
Daman, 4 May 2001 , 118 min  ,Drama,Disaster,30,"3,82,000","1,50,00,000","4,50,000","14,50,000","26,50,000","24,94,000","45,58,000","97,00,000","97,37,400"
Dabangg, 10 Sep 2010 , 125 min  ,Action,Blockbuster,1900,"2,50,86,000","41,00,00,000","14,55,00,000","48,94,00,000","81,64,00,000","78,24,03,000","1,27,61,80,500","1,93,37,00,000","2,19,27,00,000"
Gangster - A Love Story, 28 Apr 2006 , 123 min  ,Love Story,Semi Hit,300,"32,90,000","6,50,00,000","1,07,00,000","3,47,00,000","5,82,00,000","4,92,74,000","8,26,44,000","17,93,00,000","17,93,00,000"
Kick, 25 Jul 2014 , 146 min  ,Action,Blockbuster,3800,"2,41,92,000","1,40,00,00,000","24,97,00,000","80,13,00,000","1,55,31,00,000","1,25,55,42,000","2,50,41,54,000","2,83,52,00,000","3,51,80,00,000"
Beti No.1, 10 Nov 2000 , 143 min  ,Drama,Disaster,8,"99,900","3,50,00,000","1,50,000","4,50,000","7,00,000","10,52,750","16,48,000","20,00,000","25,61,000"
Raaton Ki Rani, 19 Mar 2004 , 116 min  ,Drama,Disaster,2,"65,400","15,00,000",None,None,None,None,"14,98,500","15,00,000","15,00,000"
50 Lakh, 5 Oct 2007 , 125 min  ,Thriller,Disaster,25,"5,700","1,50,00,000","75,000","2,25,000","3,00,000","3,21,750","4,29,000","5,00,000","5,00,000"
Mantra, 17 Mar 2017 , 91 min  ,Drama,Disaster,15,"2,075",None,None,None,None,None,"5,00,500","5,00,000","5,00,000"
Bhoot Returns, 12 Oct 2012 , 90 min  ,Horror,Flop,925,"6,64,000","7,50,00,000","1,10,00,000","3,27,00,000","4,43,00,000","4,54,70,000","6,16,60,000","6,18,00,000","6,39,20,000"
Hum Aapke Dil Mein Rehte Hain, 22 Jan 1999 , 165 min  ,Drama,Super Hit,190,"1,34,87,000","6,25,00,000","57,00,000","1,84,00,000","3,64,00,000","5,08,30,000","9,07,80,000","29,00,00,000","36,65,00,000"
Mahabharat, 27 Dec 2013 , 125 min  ,Animation,Disaster,225,"1,40,500","25,00,00,000",None,None,"1,19,00,000",None,"1,60,65,000","1,69,00,000","1,69,00,000"
Stop!, 5 Nov 2004 , 142 min  ,Rom - Com,Disaster,35,"42,400","1,75,00,000","4,00,000","13,00,000","19,50,000","18,59,000","27,88,500","31,00,000","31,00,000"
Munni Metric Pass 2, 18 Mar 2016 , 125 min  ,Adult,Disaster,2,"26,900",None,None,None,None,None,"17,94,000","18,00,000","18,00,000"
Ishkq In Paris, 24 May 2013 , 102 min  ,Love Story,Disaster,400,"1,75,000","21,00,00,000","36,00,000","1,18,00,000","1,62,00,000","1,87,17,500","2,66,08,750","2,25,00,000","2,80,75,000"
For Real, 17 Sep 2010 , 82 min  ,Drama,Disaster,30,"9,075","1,00,00,000","1,75,000","6,00,000","8,20,000","8,04,000","10,98,800","11,25,000","11,25,000"
Kaun Mera Kaun Tera, 29 Sep 2017 , 120 min  ,Comedy,Disaster,6,"2,925",None,None,None,None,None,"1,84,500","1,85,000","1,85,000"
Namkeen, 16 Dec 2005 , 99 min  ,Adult,Disaster,1,"15,700","15,00,000",None,None,None,None,"5,76,000","5,75,000","5,75,000"
Meri Mohabbat Mera Naseeba, 8 Dec 1995 , 133 min  ,Love Story,Disaster,12,"72,600","55,00,000","50,000","1,75,000","2,70,000","3,11,500","4,80,600","8,00,000","8,00,000"
Teen Taal, 17 Jun 2016 , 118 min  ,Drama,Disaster,3,"2,500",None,None,None,None,None,"1,45,000","1,45,000","1,45,000"
Dharam Sankat Mein, 10 Apr 2015 , 129 min  ,Comedy,Flop,1100,"8,52,000","14,00,00,000","1,18,00,000","4,87,00,000","7,52,00,000","6,49,04,000","10,01,94,000","11,98,00,000","12,09,16,000"
Sixteen, 12 Jul 2013 , 139 min  ,Drama,Disaster,300,"1,51,000","2,75,00,000","20,00,000","77,00,000","1,10,50,000","1,04,72,000","1,50,28,000","1,76,00,000","1,76,00,000"
Pardesi Babu, 13 Nov 1998 , 157 min  ,Love Story,Flop,180,"45,38,000","5,50,00,000","57,00,000","1,65,00,000","2,81,50,000","2,99,15,000","5,06,86,500","8,98,00,000","9,44,75,000"
The Revenge Geeta Mera Naam, 1 Sep 2000 , 108 min  ,Action,Disaster,30,"3,91,000","55,00,000","5,00,000","13,50,000","22,00,000","23,08,500","37,62,000","71,00,000","71,45,750"
Pyaar Koi Khel Nahin, 30 Jul 1999 , 157 min  ,Love Story,Flop,215,"50,53,000","8,50,00,000","71,00,000","2,07,00,000","3,68,00,000","3,99,47,500","6,94,80,000","11,58,00,000","13,02,88,750"
16 December, 22 Mar 2002 , 148 min  ,Action,Average,175,"34,96,000","4,00,00,000","52,00,000","1,57,00,000","2,79,00,000","2,62,19,000","4,65,93,000","10,62,00,000","10,65,41,250"
Ang Se Ang Laga Lay, 1 Nov 2002 , 0 min  ,Drama,Disaster,3,"65,500","30,00,000",None,None,None,None,"13,28,250","13,25,000","13,25,000"
Ahista Ahista, 18 Aug 2006 , 124 min  ,Love Story,Disaster,200,"3,10,000","4,00,00,000","31,00,000","95,00,000","1,47,00,000","1,33,00,000","2,05,80,000","2,31,00,000","2,31,00,000"
Snif!!!, 25 Aug 2017 , 89 min  ,Drama,Disaster,400,"61,000",None,"9,00,000","41,00,000","63,50,000","52,89,000","81,91,500","90,00,000","90,00,000"
Rabba Main Kya Karoon, 2 Aug 2013 , 118 min  ,Comedy,Disaster,400,"1,22,500","11,00,00,000","21,00,000","70,00,000","1,02,50,000","95,20,000","1,39,40,000","1,44,00,000","1,44,00,000"
Sikandar, 21 Aug 2009 , 114 min  ,Thriller,Disaster,250,"95,100","5,00,00,000","11,50,000","39,00,000","53,50,000","54,48,000","74,92,000","80,00,000","82,40,000"
Yun Hota Toh Kya Hota, 21 Jul 2006 , 118 min  ,Drama,Disaster,75,"2,23,000","6,25,00,000","17,00,000","60,00,000","88,00,000","84,60,000","1,24,08,000","1,75,00,000","1,75,00,000"
Vijaypath, 5 Aug 1994 , 160 min  ,Action,Hit,205,"1,01,16,000","2,75,00,000","51,00,000","1,44,00,000","2,41,25,000","2,54,88,000","4,27,01,250","11,41,00,000","11,53,60,000"
Lou... Ek Ehsaas, 17 Sep 2004 , 111 min  ,Drama,Disaster,2,"53,700","25,00,000",None,None,None,None,"12,49,500","12,50,000","12,50,000"
Impatient Vivek, 7 Jan 2011 , 114 min  ,Rom - Com,Disaster,125,"15,900","2,25,00,000","2,75,000","8,25,000","11,70,000","11,30,250","16,02,900","16,75,000","16,75,000"
Heroes, 24 Oct 2008 , 139 min  ,Drama,Flop,725,"27,95,000","18,00,00,000","2,09,00,000","6,78,00,000","10,38,00,000","13,33,64,000","20,49,34,000","17,48,00,000","25,44,00,000"
Virasat, 30 May 1997 , 161 min  ,Drama,Hit,175,"1,05,39,000","4,50,00,000","42,00,000","1,41,00,000","2,76,50,000","2,42,52,000","4,75,58,000","19,48,00,000","20,73,12,500"
Mere Brother Ki Dulhan, 9 Sep 2011 , 138 min  ,Rom - Com,Hit,1650,"74,89,000","32,00,00,000","7,18,00,000","24,84,00,000","36,20,00,000","41,18,85,000","59,40,67,500","77,21,00,000","93,84,20,000"
Ittefaq, 3 Nov 2017 , 107 min  ,Thriller,Flop,1100,"23,41,000","29,00,00,000","3,69,00,000","14,82,00,000","20,84,00,000","26,68,35,000","36,76,70,000","35,72,00,000","35,72,00,000"
Oh Darling Yeh Hai India, 11 Aug 1995 , 157 min  ,Drama,Disaster,100,"17,86,000","2,25,00,000","22,00,000","68,00,000","1,15,50,000","1,13,56,000","1,92,88,500","2,96,00,000","3,21,60,000"
Jugatiya, 19 Oct 2012 , 0 min  ,Drama,Disaster,2,"3,500","5,00,000",None,None,None,None,"1,14,750","1,15,000","1,15,000"
Saala Khadoos, 29 Jan 2016 , 109 min  ,Drama,Disaster,700,"10,28,000","20,00,00,000","1,26,00,000","5,60,00,000","8,80,00,000","9,31,40,000","12,23,20,000","14,95,00,000","14,95,00,000"
Zaroorat, 1 Jun 2001 , 98 min  ,Drama,Disaster,6,"1,22,500","25,00,000",None,None,None,None,"22,54,500","22,50,000","22,50,000"
Trishakti, 6 Aug 1999 , 169 min  ,Action,Disaster,110,"10,87,000","3,25,00,000","21,00,000","57,00,000","88,50,000","96,54,625","1,49,56,500","2,12,00,000","2,12,86,500"
Krishna Tere Desh Mein, 10 Nov 2000 , 136 min  ,Drama,Disaster,3,"38,800","55,00,000",None,None,None,None,"7,26,750","7,25,000","7,25,000"
Rocket Singh: Salesman Of The Year, 11 Dec 2009 , 160 min  ,Drama,Below Average,800,"31,06,000","16,00,00,000","3,56,00,000","1,04,40,000","15,63,00,000","4,69,23,400","25,60,45,500","27,44,00,000","33,65,77,500"
The Hero - Love Story of a Spy, 11 Apr 2003 , 182 min  ,Action,Below Average,500,"1,24,27,000","35,00,00,000","2,22,00,000","6,31,00,000","10,74,00,000","11,15,73,000","18,82,17,000","41,45,00,000","45,13,12,500"
Angaaray, 24 Jul 1998 , 137 min  ,Drama,Flop,120,"25,25,000","3,50,00,000","32,00,000","93,00,000","1,58,00,000","1,64,47,500","2,79,22,500","4,82,00,000","5,01,12,500"
Hamara Tiranga, 19 Jan 2018 , 117 min  ,Drama,,0,--,None,None,None,None,None,--,None,None
Police Ke Ghere Mein, 29 Mar 1996 , 127 min  ,Drama,Disaster,2,"69,200","35,00,000",None,None,None,None,"8,25,000","8,25,000","8,25,000"
Mazaa Mazaa..., 15 Jul 2005 , 99 min  ,Comedy,Disaster,30,"78,800","1,00,00,000","2,00,000","6,25,000","9,50,000","9,25,000","14,06,000","24,50,000","24,50,000"
Saajan Ka Ghar, 29 Apr 1994 , 156 min  ,Drama,Semi Hit,125,"76,26,000","1,75,00,000","18,50,000","65,00,000","1,16,75,000","1,20,90,000","2,17,15,500","6,99,00,000","7,22,43,750"
Journey Bombay To Goa, 6 Jul 2007 , 138 min  ,Comedy,Flop,150,"4,68,000","4,25,00,000","36,00,000","1,28,00,000","1,83,00,000","1,77,92,000","2,54,37,000","3,51,00,000","3,51,00,000"
Rishton Ki Saanjh, 14 Apr 2017 , 109 min  ,Drama,Disaster,1,600,None,None,None,None,None,"35,000","35,000","35,000"
Zordaar, 11 Oct 1996 , 140 min  ,Action,Flop,55,"9,16,000","1,00,00,000","9,00,000","26,00,000","42,25,000","44,20,000","71,82,500","1,31,00,000","1,32,08,750"
Finding Fanny, 12 Sep 2014 , 105 min  ,Drama,Flop,875,"25,04,000","29,00,00,000","4,56,00,000","17,72,00,000","24,23,00,000","32,46,78,000","43,02,12,000","37,80,00,000","51,28,10,000"
F.A.L.T.U, 1 Apr 2011 , 120 min  ,Comedy,Average,1200,"34,35,000","20,00,00,000","4,43,00,000","10,40,00,000","16,55,00,000","14,14,40,000","22,50,80,000","32,92,00,000","32,92,00,000"
Shamitabh, 6 Feb 2015 , 153 min  ,Drama,Disaster,1600,"21,05,000","49,00,00,000","3,45,00,000","12,87,00,000","18,32,00,000","22,37,10,500","31,09,43,000","29,10,00,000","37,12,75,000"
Duplicate Jaani Dushman, 5 Sep 2003 , 87 min  ,Mystery,Disaster,20,"2,38,000","30,00,000","3,50,000","10,25,000","15,50,000","16,50,250","24,95,500","53,00,000","53,00,000"
Children Of War, 16 May 2014 , 160 min  ,Drama,Disaster,275,"49,700","9,00,00,000","8,00,000","3,50,000","53,00,000","4,72,500","71,55,000","75,00,000","75,00,000"
Jalpari - The Desert Mermaid, 31 Aug 2012 , 108 min  ,Drama,Disaster,40,"7,950","3,50,00,000","1,50,000","4,50,000","6,00,000","6,07,500","8,10,000","8,75,000","8,75,000"
Maidan-E-Jung, 14 Apr 1995 , 172 min  ,Action,Flop,160,"58,53,000","3,25,00,000","40,00,000","1,10,00,000","1,87,50,000","1,87,00,000","3,18,75,000","7,17,00,000","7,23,30,000"
Xcuse Me!, 26 Sep 2003 , 152 min  ,Comedy,Disaster,125,"6,83,000","2,25,00,000","30,00,000","83,00,000","1,22,50,000","1,25,33,000","1,84,97,500","2,59,00,000","2,59,00,000"
The Train, 8 Jun 2007 , 134 min  ,Thriller,Flop,325,"12,74,000","7,75,00,000","96,00,000","3,08,00,000","4,37,00,000","4,32,24,500","6,13,20,500","7,11,00,000","7,17,18,750"
Hyena, 20 Jan 2017 , 101 min  ,Drama,Disaster,10,"5,100",None,None,None,None,None,"3,24,000","3,25,000","3,25,000"
Jhoot Bole Kauwa Kaate, 4 Dec 1998 , 148 min  ,Comedy,Flop,90,"29,23,000","4,00,00,000","31,00,000","1,00,00,000","1,76,50,000","1,89,25,000","2,96,52,000","6,78,00,000","7,29,00,000"
Red Alert - The War Within, 9 Jul 2010 , 120 min  ,Drama,Disaster,400,"2,85,000","10,00,00,000","30,00,000","99,00,000","1,37,00,000","1,34,64,000","1,86,32,000","1,93,00,000","1,93,00,000"
Dhoop, 7 Nov 2003 , 126 min  ,Drama,Disaster,20,"51,200","1,50,00,000","3,25,000","9,25,000","14,50,000","13,59,750","21,31,500","32,00,000","32,00,000"
