movie_name,release_date,runtime,genre,hitfactor,screens,footfall,budget,first_day,first_weekend,first_week,worldwide_first_weekend,worldwide_first_week,india_gross,worldwide_gross
Zulm Hi Zulm, 20 Sep 1996 , 0 min  ,Action,Disaster,1,"8,725","20,00,000",None,None,None,None,"1,12,500","1,12,500","1,12,500"
Dulhan Hum Le Jayenge, 24 Mar 2000 , 148 min  ,Comedy,Hit,300,"1,33,17,000","11,00,00,000","1,29,00,000","3,83,00,000","7,09,00,000","8,39,19,000","14,65,17,000","31,65,00,000","36,87,00,000"
Jung Ke Sholay, 24 Oct 2003 , 95 min  ,Action,Disaster,3,"1,04,000","20,00,000",None,None,None,None,"22,51,500","22,50,000","22,50,000"
DHD, 28 Apr 2017 , 0 min  ,Drama,Disaster,1,725,None,None,None,None,None,"37,500","37,500","37,500"
Rehguzar, 17 Nov 2006 , 125 min  ,Drama,Disaster,8,"3,875","2,25,00,000","40,000","1,25,000","1,75,000","1,82,500","2,55,500","2,70,000","2,70,000"
Tejasvini, 1 Apr 1994 , 170 min  ,Action,Average,130,"72,83,000","1,90,00,000","26,00,000","75,00,000","1,29,50,000","1,28,25,000","2,21,44,500","6,41,00,000","6,87,87,500"
Future To Bright Hai Ji, 2 Nov 2012 , 109 min  ,Drama,Disaster,30,"8,350","1,50,00,000","1,25,000","4,00,000","5,50,000","5,52,000","7,59,000","8,25,000","8,25,000"
Tum Ho Yaara, 6 Jun 2014 , 141 min  ,Drama,Disaster,5,"12,650","60,00,000",None,None,None,None,"5,52,000","5,50,000","5,50,000"
Mitti, 26 Oct 2001 , 137 min  ,Action,Disaster,65,"5,81,000","2,50,00,000","12,50,000","33,00,000","50,00,000","55,44,000","84,00,000","1,25,00,000","1,25,00,000"
Humraaz, 5 Jul 2002 , 174 min  ,Thriller,Average,325,"91,28,000","15,00,00,000","1,55,00,000","4,48,00,000","7,70,00,000","8,32,22,000","13,99,30,000","27,20,00,000","29,71,06,250"
Phir Ek Baar Beabroo, 1 Apr 2016 , 0 min  ,Adult,Disaster,2,"10,500",None,None,None,None,None,"5,51,250","5,50,000","5,50,000"
Madmast Barkhaa, 3 Jul 2015 , 107 min  ,Drama,Disaster,2,"11,200",None,None,None,None,None,"8,97,000","9,00,000","9,00,000"
Desi Mandi, 31 Jul 2015 , 122 min  ,Drama,Disaster,5,"5,800",None,None,None,None,None,"3,00,000","3,00,000","3,00,000"
Golmaal Again, 20 Oct 2017 , 151 min  ,Comedy,Blockbuster,3300,"1,98,46,000","1,42,00,00,000","30,10,00,000","87,62,00,000","1,36,01,00,000","1,34,47,98,000","2,06,32,79,000","2,64,18,00,000","3,11,04,50,000"
Barood - The Fire A Love Story, 12 Nov 2010 , 134 min  ,Action,Disaster,25,"88,700","4,00,00,000",None,None,"1,50,000",None,"2,14,500","40,00,000","40,00,000"
Kabhi Socha Bhi Na Tha, 7 Mar 2008 , 102 min  ,Drama,Disaster,20,"5,725","35,00,000",None,None,"3,25,000",None,"4,55,000","5,25,000","5,25,000"
Aakhri Chetawani, 10 Dec 1993 , 0 min  ,Action,Disaster,5,"1,90,000","12,50,000",None,None,None,None,"13,77,500","13,75,000","13,75,000"
Paisa Ho Paisa, 3 Apr 2015 , 107 min  ,Comedy,Disaster,5,625,None,None,None,None,None,"35,000","35,000","35,000"
Madhu Ki Baatein, 25 Feb 2005 , 0 min  ,Adult,Disaster,1,"18,550","10,00,000",None,None,None,None,"4,50,000","4,50,000","4,50,000"
Himmatwala, 29 Mar 2013 , 151 min  ,Masala,Flop,3150,"61,28,000","68,00,00,000","10,13,00,000","26,20,00,000","37,23,00,000","41,04,77,500","57,37,94,750","58,34,00,000","65,79,93,750"
Luv... Phir Kabhi, 16 Jan 2015 , 122 min  ,Rom - Com,Disaster,3,"9,375",None,None,None,None,None,"4,48,500","4,50,000","4,50,000"
Sabse Bada Beimaan, 2 Jun 2000 , 0 min  ,Action,Disaster,60,"7,06,000","1,25,00,000","9,00,000","24,00,000","40,00,000","40,56,000","67,60,000","1,32,00,000","1,32,88,500"
Hello Brother, 10 Sep 1999 , 132 min  ,Comedy,Flop,240,"80,75,000","9,00,00,000","1,04,00,000","3,12,00,000","5,29,00,000","6,82,65,000","11,16,80,000","18,17,00,000","21,10,62,500"
Suryaputra Shanidev, 18 Apr 1997 , 141 min  ,Devotional,Disaster,5,"97,600","25,00,000",None,None,None,None,"12,97,500","13,00,000","13,00,000"
Coffee Bloom, 6 Mar 2015 , 95 min  ,Drama,Disaster,30,"2,600",None,None,None,None,None,"4,76,000","4,75,000","4,75,000"
Fanaa, 26 May 2006 , 168 min  ,Love Story,Super Hit,650,"1,39,47,000","30,00,00,000","3,96,00,000","11,74,00,000","20,32,00,000","27,22,54,000","45,53,32,000","73,28,00,000","1,05,48,00,000"
Jagga Jasoos, 14 Jul 2017 , 161 min  ,Drama,Flop,1750,"49,74,000","1,31,00,00,000","8,21,00,000","31,53,00,000","43,12,00,000","51,20,26,000","69,86,84,000","69,31,00,000","86,85,72,500"
Ranviir - The Marshal, 22 Oct 2015 , 131 min  ,Action,Disaster,50,"3,000",None,None,None,None,None,"3,24,000","3,25,000","3,25,000"
Run Bhuumi - Champs Dont Cry, 12 Nov 2015 , 113 min  ,Drama,Disaster,5,475,None,None,None,None,None,"37,500","37,500","37,500"
Brahma, 2 Sep 1994 , 151 min  ,Action,Flop,120,"35,17,000","1,45,00,000","22,00,000","63,00,000","1,08,00,000","1,11,51,000","1,91,16,000","3,74,00,000","3,77,78,000"
Monica, 25 Mar 2011 , 121 min  ,Thriller,Disaster,100,"34,100","4,50,00,000","4,50,000","13,00,000","18,00,000","18,33,000","25,38,000","28,50,000","28,50,000"
Aatma, 19 May 2006 , 108 min  ,Horror,Disaster,70,"2,43,000","2,50,00,000","12,00,000","37,00,000","53,00,000","52,54,000","75,26,000","94,00,000","94,00,000"
Angry Young Man, 2 May 2014 , 119 min  ,Action,Disaster,300,"39,800","4,75,00,000","3,25,000","10,50,000","15,00,000","14,38,500","20,55,000","23,25,000","23,25,000"
Badlapur, 20 Feb 2015 , 135 min  ,Thriller,Hit,1700,"48,48,000","29,00,00,000","6,90,00,000","23,15,00,000","35,96,00,000","37,99,40,000","57,46,16,000","67,37,00,000","78,90,20,000"
Kya Yehi Pyaar Hai, 22 Mar 2002 , 144 min  ,Love Story,Average,190,"46,46,000","5,50,00,000","60,00,000","1,80,00,000","3,12,00,000","3,22,20,000","5,52,04,500","12,59,00,000","13,39,43,750"
Khoobsoorat Khiladi, 20 Sep 2002 , 118 min  ,Mystery,Disaster,2,"51,700","40,00,000",None,None,None,None,"15,96,000","16,00,000","16,00,000"
99.9 FM, 17 Jun 2005 , 88 min  ,Thriller,Disaster,5,"1,525","40,00,000",None,None,"75,000",None,"1,05,750","1,20,000","1,20,000"
Dasvidaniya, 14 Nov 2008 , 113 min  ,Comedy,Disaster,150,"2,19,000","4,00,00,000","17,00,000","63,00,000","90,50,000","86,94,000","1,24,89,000","1,97,00,000","1,97,00,000"
Loot, 4 Nov 2011 , 112 min  ,Comedy,Disaster,625,"5,64,000","15,00,00,000","65,00,000","2,12,00,000","3,10,00,000","2,92,56,000","4,27,80,000","4,41,00,000","4,41,00,000"
Karam, 11 Mar 2005 , 117 min  ,Thriller,Flop,225,"15,85,000","5,75,00,000","77,00,000","2,22,00,000","3,41,00,000","3,41,55,500","4,91,04,000","7,15,00,000","7,76,25,000"
Shaadi Ka Laddoo, 23 Apr 2004 , 132 min  ,Comedy,Flop,85,"3,35,000","3,00,00,000","18,00,000","47,00,000","72,50,000","69,56,000","1,07,30,000","1,48,00,000","1,48,00,000"
Billu, 13 Feb 2009 , 137 min  ,Comedy,Flop,1050,"42,06,000","27,00,00,000","3,78,00,000","12,05,00,000","17,53,00,000","24,91,65,000","35,74,51,500","31,51,00,000","47,45,12,500"
